relay,component,site,lon,lat,hover_altitude_m,launch_s,service_start_s,service_end_s,return_s,energy_kwh,return_soc_pct
R01,RE01,SS010,109.2760168,23.0134009,695.6207885742188,133.81456582220574,796.571218094636,1607.1963089317185,2107.2796935853335,0.5059207178357812,84.18997756763183
R02,RE02,NS011,109.2203356,23.0379231,577.2268676757812,105.02022650494462,656.1431240159025,1607.1963089317185,1985.7797787489915,0.4858878063091572,84.81600605283883
R02,RE03,MS006,109.21531765,23.008111749999998,467.96922302246094,2287.4169202545704,2688.691009956868,3325.450661669142,3545.080519956645,0.3018503255020487,90.56717732806098
R01,RE04,LS004-0.75,109.236341475,23.060508425000002,630.5505676269531,2412.0612920202498,3133.5085712774053,7665.675041946285,8219.026535172354,1.6851609027121617,47.33872179024495
R02,RE01,LS015-0.75,109.20199687499999,23.039218475,798.5931091308594,3874.7075793666354,4552.9047840107505,7146.323105625509,7670.428069363863,1.0532393816909147,67.08626932215893
R02,RE02,LS014-0.25,109.244037925,23.00768455,620.3739318847656,7977.303217733808,8400.797578996488,8869.76462328243,9124.315145535507,0.2539892509306426,92.06283590841741
R01,RE03,S010-H50,109.2760168,23.0194009,471.5816650390625,8529.28587640026,9144.222617976504,9848.240163421993,10281.83371041816,0.45865234967850943,85.66711407254658
R02,RE01,LS004-0.25,109.232681625,23.025842474999997,531.8917236328125,9424.33973536606,9863.965755364778,10453.742908855362,10717.051572490147,0.30747266979402965,90.39147906893658
R01,RE02,LS015-0.75,109.20199687499999,23.039218475,798.5931091308594,10590.257803441746,11268.45500808586,13520.264970740074,14044.369934478427,0.9488590497863036,70.348154694178
R02,RE03,NS011,109.2203356,23.0379231,577.2268676757812,11017.322357981566,11568.445255492523,13079.60653961164,13458.190009428912,0.6570319477323878,79.46775163336288
R02,RE01,LS004-0.75,109.236341475,23.060508425000002,630.5505676269531,13764.305826667465,14485.753105924621,15118.74773818317,15672.099231409238,0.4937472854201165,84.57039733062136
R01,RE03,LS010-0.75,109.26472552499999,23.01667805,654.4152526855469,14366.342366959663,14947.248169636618,15890.809543898273,16305.608284299022,0.497163118755522,84.46365253888995
R02,RE02,LS015-0.75,109.20199687499999,23.039218475,798.5931091308594,15976.95211401385,16655.149318657965,18138.680874236943,18662.785837975298,0.7141073142910928,77.68414642840335
R01,RE01,LS004-0.75,109.236341475,23.060508425000002,630.5505676269531,16634.342017608877,17355.78929686603,18153.625534002018,18706.977027228088,0.5441155535771114,82.99638895071527
